Column1;PosicionCancion;NombreCancion;CantanteCancion;SemanaenLista
108;8;Montero (Call Me By Your Name);Lil Nas X;17
109;9;Deja Vu;Olivia Rodrigo;16
110;10;Save Your Tears;The Weeknd & Ariana Grande;32
111;11;Peaches;Justin Bieber Featuring Daniel Caesar & Giveon;18
112;12;Leave The Door Open;Silk Sonic (Bruno Mars & Anderson .Paak);20
113;13;Rapstar;Polo G;15
114;14;Wild Side;Normani Featuring Cardi B;1
115;15;Fancy Like;Walker Hayes;5
116;16;Heartbreak Anniversary;Giveon;23
117;17;Blinding Lights;The Weeknd;85
118;18;Astronaut In The Ocean;Masked Wolf;23
119;19;You Right;Doja Cat & The Weeknd;4
120;20;Without You;The Kid LAROI;33
121;21;Forever After All;Luke Combs;39
122;22;Every Chance I Get;DJ Khaled Featuring Lil Baby & Lil Durk;12
123;23;Motley Crew;Post Malone;2
124;24;Leave Before You Love Me;Marshmello X Jonas Brothers;9
125;25;Thot Shit;Megan Thee Stallion;6
126;26;Lil Bit;Nelly & Florida Georgia Line;18
127;27;Single Saturday Night;Cole Swindell;12
128;28;Famous Friends;Chris Young + Kane Brown;17
129;29;Beautiful Mistakes;Maroon 5 Featuring Megan Thee Stallion;20
130;30;Whole Lotta Money;BIA Featuring Nicki Minaj;2
131;31;Ain't Shit;Doja Cat;4
132;32;Heat Waves;Glass Animals;27
133;33;Late At Night;Roddy Ricch;7
134;34;Glad You Exist;Dan + Shay;24
135;35;Beggin';Maneskin;4
136;36;Blame It On You;Jason Aldean;13
137;37;Drinkin' Beer. Talkin' God. Amen.;Chase Rice Featuring Florida Georgia Line;8
138;38;Telepatia;Kali Uchis;22
139;39;Traitor;Olivia Rodrigo;9
140;40;Best Friend;Saweetie Featuring Doja Cat;28
141;41;Mood;24kGoldn Featuring iann dior;50
142;42;My Ex's Best Friend;Machine Gun Kelly X blackbear;49
143;43;Drivers License;Olivia Rodrigo;28
144;44;Yonaguni;Bad Bunny;7
145;45;Todo de Ti;Rauw Alejandro;8
146;46;Need To Know;Doja Cat;6
147;47;Wants And Needs;Drake Featuring Lil Baby;20
148;48;Wockesha;Moneybagg Yo;13
149;49;Tell The Vision;Pop Smoke Featuring Kanye West & Pusha T;1
150;50;Holy Smokes;Trippie Redd Featuring Lil Uzi Vert;1
151;51;Things A Man Oughta Know;Lainey Wilson;10
152;52;pov;Ariana Grande;20
153;53;Settling Down;Miranda Lambert;19
154;54;Bout A Million;Pop Smoke Featuring 21 Savage & 42 Dugg;1
155;55;One Too Many;Keith Urban Duet With P!nk;32
156;56;Ball If I Want To;DaBaby;5
157;57;Arcade;Duncan Laurence;15
158;58;Chasing After You;Ryan Hurd With Maren Morris;12
159;59;Drunk (And I Don't Wanna Go Home);Elle King & Miranda Lambert;13
160;60;You;Regard x Troye Sivan x Tate McRae;6
161;61;Waves;Luke Bryan;5
162;62;Way Less Sad;AJR;13
163;63;Gone;Dierks Bentley;19
